emailAddress,fullName,fields.company,fields.location
studio@cld.agency,,Clever Little Design,Reading
info@mmdweb.co.uk,,MMD Web Design,Reading
hello@redballoon.io,,Red Balloon Design,Reading
info@hawksten.com,,Hawksten,Reading
howdy@wearethunderbolt.com,,Thunderbolt Digital,Farnham
office@prefacestudios.com,,Preface Studios,Farnham
sales@surreywebdesigns.com,,Surrey Web Designs,Surrey
hello@jj-solutions.com,,JJ Solutions,Guildford
info@lightflows.co.uk,,Lightflows,Surrey
hello@shift.digital,,Shift Digital,Winchester
hello@boxchilli.com,,boxChilli,Southampton
info@oysterdesign.co.uk,,Oyster Design,Hampshire
hello@biggerpicture.agency,,Bigger Picture,Hampshire
hello@intuitiv.net,,Intuitiv Digital,Oxford
info@bm-group.co.uk,,B&M Design,Oxford
web@franksandfranks.com,,Franks and Franks,Oxford
contact@techniqueweb.co.uk,,Technique Web,Banbury
howdy@rareformnewmedia.com,,Rare Form New Media,Oxford
info@websir.co.uk,,Websir,Oxford
