site_sector,ai_sessions_total,chatgpt_sessions,copilot_sessions,perplexity_sessions,claude_sessions,gemini_sessions
Health and wellness,1357,1145,71,79,62,0
Education data,993,930,40,20,3,0
EV charging,573,520,43,5,2,3
Document templates,595,589,3,1,0,2
Property data,259,231,14,10,4,0
Remote work and travel,155,143,0,10,2,0
Water quality,221,176,34,9,2,0
Mobile coverage,176,143,30,3,0,0
Garden equipment reviews,260,251,9,0,0,0
QR tools,80,77,3,0,0,0
This site (SEO consulting),48,45,0,1,1,1
Fitness,0,0,0,0,0,0
