"positionBucket","ctrPercent","clicks","impressions","queryPropertyRows","periodStart","periodEnd","qualifyingProperties","countryFilter","brandExclusion","minimumImpressions","rowLimitPerProperty","pagination","bucketRule","limitations","sourceUrl","reviewedAt"
"1","5.96","43","721","5","2026-04-09","2026-07-07","53","none","none","50","5000","none","position < 10.5: Math.round(position); 10.5 <= position <= 20.5: 11-20; position > 20.5: 21+","Not a UK-only or non-brand benchmark. No country, device, brand or sector mix was retained. Only the top returned rows were available before filtering. Query results are sorted by clicks. API limits and anonymised queries restrict coverage. The position-one bucket contains five query rows and 721 impressions. Thin buckets do not establish universal targets. Buckets represent period-average positions, not fixed rankings or physical search-result pages. Different query groups cannot establish a causal ranking, intent, AI Overview or zero-click effect. The retained data contain bucket totals only. Per-property variation, overlapping properties and extraction coverage cannot be reconstructed.","https://sunnypatel.co.uk/blog/google-ctr-study/","2026-09-12"
"2","0.22","7","3199","6","2026-04-09","2026-07-07","53","none","none","50","5000","none","position < 10.5: Math.round(position); 10.5 <= position <= 20.5: 11-20; position > 20.5: 21+","Not a UK-only or non-brand benchmark. No country, device, brand or sector mix was retained. Only the top returned rows were available before filtering. Query results are sorted by clicks. API limits and anonymised queries restrict coverage. The position-one bucket contains five query rows and 721 impressions. Thin buckets do not establish universal targets. Buckets represent period-average positions, not fixed rankings or physical search-result pages. Different query groups cannot establish a causal ranking, intent, AI Overview or zero-click effect. The retained data contain bucket totals only. Per-property variation, overlapping properties and extraction coverage cannot be reconstructed.","https://sunnypatel.co.uk/blog/google-ctr-study/","2026-09-12"
"3","1.58","44","2784","14","2026-04-09","2026-07-07","53","none","none","50","5000","none","position < 10.5: Math.round(position); 10.5 <= position <= 20.5: 11-20; position > 20.5: 21+","Not a UK-only or non-brand benchmark. No country, device, brand or sector mix was retained. Only the top returned rows were available before filtering. Query results are sorted by clicks. API limits and anonymised queries restrict coverage. The position-one bucket contains five query rows and 721 impressions. Thin buckets do not establish universal targets. Buckets represent period-average positions, not fixed rankings or physical search-result pages. Different query groups cannot establish a causal ranking, intent, AI Overview or zero-click effect. The retained data contain bucket totals only. Per-property variation, overlapping properties and extraction coverage cannot be reconstructed.","https://sunnypatel.co.uk/blog/google-ctr-study/","2026-09-12"
"4","8.61","377","4381","24","2026-04-09","2026-07-07","53","none","none","50","5000","none","position < 10.5: Math.round(position); 10.5 <= position <= 20.5: 11-20; position > 20.5: 21+","Not a UK-only or non-brand benchmark. No country, device, brand or sector mix was retained. Only the top returned rows were available before filtering. Query results are sorted by clicks. API limits and anonymised queries restrict coverage. The position-one bucket contains five query rows and 721 impressions. Thin buckets do not establish universal targets. Buckets represent period-average positions, not fixed rankings or physical search-result pages. Different query groups cannot establish a causal ranking, intent, AI Overview or zero-click effect. The retained data contain bucket totals only. Per-property variation, overlapping properties and extraction coverage cannot be reconstructed.","https://sunnypatel.co.uk/blog/google-ctr-study/","2026-09-12"
"5","2.96","150","5069","37","2026-04-09","2026-07-07","53","none","none","50","5000","none","position < 10.5: Math.round(position); 10.5 <= position <= 20.5: 11-20; position > 20.5: 21+","Not a UK-only or non-brand benchmark. No country, device, brand or sector mix was retained. Only the top returned rows were available before filtering. Query results are sorted by clicks. API limits and anonymised queries restrict coverage. The position-one bucket contains five query rows and 721 impressions. Thin buckets do not establish universal targets. Buckets represent period-average positions, not fixed rankings or physical search-result pages. Different query groups cannot establish a causal ranking, intent, AI Overview or zero-click effect. The retained data contain bucket totals only. Per-property variation, overlapping properties and extraction coverage cannot be reconstructed.","https://sunnypatel.co.uk/blog/google-ctr-study/","2026-09-12"
"6","1.59","407","25649","71","2026-04-09","2026-07-07","53","none","none","50","5000","none","position < 10.5: Math.round(position); 10.5 <= position <= 20.5: 11-20; position > 20.5: 21+","Not a UK-only or non-brand benchmark. No country, device, brand or sector mix was retained. Only the top returned rows were available before filtering. Query results are sorted by clicks. API limits and anonymised queries restrict coverage. The position-one bucket contains five query rows and 721 impressions. Thin buckets do not establish universal targets. Buckets represent period-average positions, not fixed rankings or physical search-result pages. Different query groups cannot establish a causal ranking, intent, AI Overview or zero-click effect. The retained data contain bucket totals only. Per-property variation, overlapping properties and extraction coverage cannot be reconstructed.","https://sunnypatel.co.uk/blog/google-ctr-study/","2026-09-12"
"7","1.02","262","25582","81","2026-04-09","2026-07-07","53","none","none","50","5000","none","position < 10.5: Math.round(position); 10.5 <= position <= 20.5: 11-20; position > 20.5: 21+","Not a UK-only or non-brand benchmark. No country, device, brand or sector mix was retained. Only the top returned rows were available before filtering. Query results are sorted by clicks. API limits and anonymised queries restrict coverage. The position-one bucket contains five query rows and 721 impressions. Thin buckets do not establish universal targets. Buckets represent period-average positions, not fixed rankings or physical search-result pages. Different query groups cannot establish a causal ranking, intent, AI Overview or zero-click effect. The retained data contain bucket totals only. Per-property variation, overlapping properties and extraction coverage cannot be reconstructed.","https://sunnypatel.co.uk/blog/google-ctr-study/","2026-09-12"
"8","0.27","40","14787","60","2026-04-09","2026-07-07","53","none","none","50","5000","none","position < 10.5: Math.round(position); 10.5 <= position <= 20.5: 11-20; position > 20.5: 21+","Not a UK-only or non-brand benchmark. No country, device, brand or sector mix was retained. Only the top returned rows were available before filtering. Query results are sorted by clicks. API limits and anonymised queries restrict coverage. The position-one bucket contains five query rows and 721 impressions. Thin buckets do not establish universal targets. Buckets represent period-average positions, not fixed rankings or physical search-result pages. Different query groups cannot establish a causal ranking, intent, AI Overview or zero-click effect. The retained data contain bucket totals only. Per-property variation, overlapping properties and extraction coverage cannot be reconstructed.","https://sunnypatel.co.uk/blog/google-ctr-study/","2026-09-12"
"9","0.75","73","9783","76","2026-04-09","2026-07-07","53","none","none","50","5000","none","position < 10.5: Math.round(position); 10.5 <= position <= 20.5: 11-20; position > 20.5: 21+","Not a UK-only or non-brand benchmark. No country, device, brand or sector mix was retained. Only the top returned rows were available before filtering. Query results are sorted by clicks. API limits and anonymised queries restrict coverage. The position-one bucket contains five query rows and 721 impressions. Thin buckets do not establish universal targets. Buckets represent period-average positions, not fixed rankings or physical search-result pages. Different query groups cannot establish a causal ranking, intent, AI Overview or zero-click effect. The retained data contain bucket totals only. Per-property variation, overlapping properties and extraction coverage cannot be reconstructed.","https://sunnypatel.co.uk/blog/google-ctr-study/","2026-09-12"
"10","0.53","45","8514","67","2026-04-09","2026-07-07","53","none","none","50","5000","none","position < 10.5: Math.round(position); 10.5 <= position <= 20.5: 11-20; position > 20.5: 21+","Not a UK-only or non-brand benchmark. No country, device, brand or sector mix was retained. Only the top returned rows were available before filtering. Query results are sorted by clicks. API limits and anonymised queries restrict coverage. The position-one bucket contains five query rows and 721 impressions. Thin buckets do not establish universal targets. Buckets represent period-average positions, not fixed rankings or physical search-result pages. Different query groups cannot establish a causal ranking, intent, AI Overview or zero-click effect. The retained data contain bucket totals only. Per-property variation, overlapping properties and extraction coverage cannot be reconstructed.","https://sunnypatel.co.uk/blog/google-ctr-study/","2026-09-12"
