"UK Marketing Salary Statistics 2026 - ONS ASHE 2025 provisional, full-time employees, gross annual pay"

"Reference period","The 2025 ASHE reference period is the pay period that included 30 April 2025."
"Annual pay period","Annual pay estimates cover the tax year ending 5 April 2025 for employees who have been in the same job for more than a year, a separate window from the pay period reference date above."
"Published","2025-10-23"
"Next release","2026-10-22"

"National, by SOC 2020 unit group (UK)"
"soc","title","jobsThousand","jobsCvPct","median","medianChangePct","medianCvPct","mean","meanChangePct","meanCvPct","p10","p25","p75","p75CvPct","p75Quality","p90"
"1132","Marketing, sales and advertising directors","200","3.9","94135","7.8","4.1","113940","16.7","3","45852","65527","134962","","","suppressed"
"1133","Public relations and communications directors","suppressed","suppressed","72887","-5.7","unavailable","84306","","7.8","suppressed","59788","suppressed","","","suppressed"
"2432","Marketing and commercial managers","89","6.3","53703","6","5.2","61810","9.5","4.7","31996","39645","69510","","","suppressed"
"2493","Public relations professionals","33","10.2","37563","1.7","5.5","41422","3","3.4","27732","30887","47627","12","caveat_10_20","suppressed"
"2494","Advertising accounts managers and creative directors","27","11.6","48977","6","5.8","57578","7.3","7.9","31340","39676","65132","19","caveat_10_20","suppressed"
"3554","Marketing associate professionals (closest SOC proxy for SEO executive/specialist roles)","104","5.4","33412","6","2.8","41107","17.6","5.2","24033","27373","41521","","","suppressed"
"ALL","All UK employees, full-time","18154","0.2","39039","4.3","0.3","48512","6","0.5","23990","29262","54009","","","76903"

"Regional median, SOC 2432 and 3554 (Great Britain, Table 15 excludes Northern Ireland)"
"region","soc2432Median","soc2432MedianCvPct","soc2432Quality","soc3554Median","soc3554MedianCvPct","soc3554Quality"
"London","60658","8.6","clean","36870","5.5","clean"
"South East","57105","16.9","caveat_10_20","33470","7.8","clean"
"East","63851","14.9","caveat_10_20","35758","10.2","caveat_10_20"
"South West","41963","13.3","caveat_10_20","32368","15.2","caveat_10_20"
"West Midlands","52379","11.6","caveat_10_20","29374","11.8","caveat_10_20"
"Yorkshire and The Humber","suppressed","20.6","suppressed","30653","7.7","clean"
"North West","48865","13.1","caveat_10_20","29291","8.8","clean"
"Wales","57791","unavailable","unavailable","28488","unavailable","unavailable"
"North East","suppressed","unavailable","suppressed","32873","unavailable","unavailable"
"East Midlands","suppressed","23.1","suppressed","33938","15","caveat_10_20"
"Scotland","suppressed","21.4","suppressed","28916","13.9","caveat_10_20"
